Caso;s1;s2;Tiempo (microsegundos);Respuesta
95;itgtjvhejss;zyxrdyaatgv;3177143;16
95;itgtjvhejss;zyxrdyaatgv;3183334;16
95;itgtjvhejss;zyxrdyaatgv;3205097;16
95;itgtjvhejss;zyxrdyaatgv;3198399;16
95;itgtjvhejss;zyxrdyaatgv;3184217;16
95;itgtjvhejss;zyxrdyaatgv;3185180;16
96;guojkxwwgwd;fojjuajnyxl;1085836;16
96;guojkxwwgwd;fojjuajnyxl;1084582;16
96;guojkxwwgwd;fojjuajnyxl;1088904;16
96;guojkxwwgwd;fojjuajnyxl;1078257;16
96;guojkxwwgwd;fojjuajnyxl;1086038;16
96;guojkxwwgwd;fojjuajnyxl;1110743;16
96;guojkxwwgwd;fojjuajnyxl;1085025;16
96;guojkxwwgwd;fojjuajnyxl;1075898;16
96;guojkxwwgwd;fojjuajnyxl;1077679;16
96;guojkxwwgwd;fojjuajnyxl;1096387;16
97;dhvqnckfhho;pmeapwnfysw;1898768;18
97;dhvqnckfhho;pmeapwnfysw;1906050;18
97;dhvqnckfhho;pmeapwnfysw;1897428;18
97;dhvqnckfhho;pmeapwnfysw;1895748;18
97;dhvqnckfhho;pmeapwnfysw;1899017;18
97;dhvqnckfhho;pmeapwnfysw;1934781;18
97;dhvqnckfhho;pmeapwnfysw;1974216;18
97;dhvqnckfhho;pmeapwnfysw;1912709;18
97;dhvqnckfhho;pmeapwnfysw;1907826;18
97;dhvqnckfhho;pmeapwnfysw;1892138;18
98;eugetqzbmsx;chbrxhlkwxu;2163147;18
98;eugetqzbmsx;chbrxhlkwxu;2146796;18
98;eugetqzbmsx;chbrxhlkwxu;2144171;18
98;eugetqzbmsx;chbrxhlkwxu;2145610;18
98;eugetqzbmsx;chbrxhlkwxu;2141810;18
98;eugetqzbmsx;chbrxhlkwxu;2164673;18
98;eugetqzbmsx;chbrxhlkwxu;2175335;18
98;eugetqzbmsx;chbrxhlkwxu;2148688;18
98;eugetqzbmsx;chbrxhlkwxu;2145601;18
98;eugetqzbmsx;chbrxhlkwxu;2171804;18
99;hclwzrhrftb;opdfgmqsbbu;2234133;18
99;hclwzrhrftb;opdfgmqsbbu;2143291;18
99;hclwzrhrftb;opdfgmqsbbu;2266880;18
99;hclwzrhrftb;opdfgmqsbbu;2186101;18
99;hclwzrhrftb;opdfgmqsbbu;2215086;18
99;hclwzrhrftb;opdfgmqsbbu;2179342;18
99;hclwzrhrftb;opdfgmqsbbu;2153454;18
99;hclwzrhrftb;opdfgmqsbbu;2192815;18
99;hclwzrhrftb;opdfgmqsbbu;2185759;18
99;hclwzrhrftb;opdfgmqsbbu;2165796;18
