Caso;s1;s2;Tiempo (microsegundos);Respuesta
1;alcantarilleras;alcantarilleras;1;0
1;alcantarilleras;alcantarilleras;0;0
1;alcantarilleras;alcantarilleras;0;0
1;alcantarilleras;alcantarilleras;0;0
1;alcantarilleras;alcantarilleras;0;0
1;alcantarilleras;alcantarilleras;0;0
1;alcantarilleras;alcantarilleras;0;0
1;alcantarilleras;alcantarilleras;0;0
1;alcantarilleras;alcantarilleras;0;0
1;alcantarilleras;alcantarilleras;0;0
2;acontecimientos;manifestaciones;70371741;15
2;acontecimientos;manifestaciones;70252673;15
2;acontecimientos;manifestaciones;69996935;15
2;acontecimientos;manifestaciones;70101344;15
2;acontecimientos;manifestaciones;70370796;15
2;acontecimientos;manifestaciones;69824106;15
2;acontecimientos;manifestaciones;69883860;15
2;acontecimientos;manifestaciones;70651060;15
2;acontecimientos;manifestaciones;70353225;15
2;acontecimientos;manifestaciones;70155846;15
3;aerodinamizando;adelantabilidad;137037715;16
3;aerodinamizando;adelantabilidad;137112381;16
3;aerodinamizando;adelantabilidad;136839527;16
3;aerodinamizando;adelantabilidad;136579311;16
3;aerodinamizando;adelantabilidad;136296253;16
3;aerodinamizando;adelantabilidad;136705261;16
3;aerodinamizando;adelantabilidad;136286248;16
3;aerodinamizando;adelantabilidad;137779116;16
3;aerodinamizando;adelantabilidad;137478336;16
3;aerodinamizando;adelantabilidad;135692461;16
4;aerodinamizando;manifestaciones;522325152;19
4;aerodinamizando;manifestaciones;526062548;19
4;aerodinamizando;manifestaciones;527957460;19
4;aerodinamizando;manifestaciones;528454865;19
4;aerodinamizando;manifestaciones;529862806;19
4;aerodinamizando;manifestaciones;530658661;19
4;aerodinamizando;manifestaciones;526896552;19
4;aerodinamizando;manifestaciones;526032214;19
4;aerodinamizando;manifestaciones;527903418;19
4;aerodinamizando;manifestaciones;530178851;19
5;manifestaciones;manifestar;6885347;7
5;manifestaciones;manifestar;6876380;7
5;manifestaciones;manifestar;6874110;7
5;manifestaciones;manifestar;6851777;7
5;manifestaciones;manifestar;6850300;7
5;manifestaciones;manifestar;6882008;7
5;manifestaciones;manifestar;6866388;7
5;manifestaciones;manifestar;6855345;7
5;manifestaciones;manifestar;6870096;7
5;manifestaciones;manifestar;6840603;7
6;aabbccbba;aabbcccbccb;4156;4
6;aabbccbba;aabbcccbccb;4145;4
6;aabbccbba;aabbcccbccb;4231;4
6;aabbccbba;aabbcccbccb;4215;4
6;aabbccbba;aabbcccbccb;4182;4
6;aabbccbba;aabbcccbccb;4177;4
6;aabbccbba;aabbcccbccb;4144;4
6;aabbccbba;aabbcccbccb;4159;4
6;aabbccbba;aabbcccbccb;4160;4
6;aabbccbba;aabbcccbccb;4155;4
7;abcabcccc;abcabccb;167;3
7;abcabcccc;abcabccb;166;3
7;abcabcccc;abcabccb;168;3
7;abcabcccc;abcabccb;166;3
7;abcabcccc;abcabccb;166;3
7;abcabcccc;abcabccb;166;3
7;abcabcccc;abcabccb;166;3
7;abcabcccc;abcabccb;166;3
7;abcabcccc;abcabccb;166;3
7;abcabcccc;abcabccb;166;3
8;aaabbb;aaabbb;0;0
8;aaabbb;aaabbb;0;0
8;aaabbb;aaabbb;0;0
8;aaabbb;aaabbb;0;0
8;aaabbb;aaabbb;0;0
8;aaabbb;aaabbb;0;0
8;aaabbb;aaabbb;0;0
8;aaabbb;aaabbb;0;0
8;aaabbb;aaabbb;0;0
8;aaabbb;aaabbb;0;0
9;bbbaaa;bbbaaa;0;0
9;bbbaaa;bbbaaa;0;0
9;bbbaaa;bbbaaa;0;0
9;bbbaaa;bbbaaa;0;0
9;bbbaaa;bbbaaa;0;0
9;bbbaaa;bbbaaa;0;0
9;bbbaaa;bbbaaa;0;0
9;bbbaaa;bbbaaa;0;0
9;bbbaaa;bbbaaa;0;0
9;bbbaaa;bbbaaa;0;0
10;cccccc;cccccc;0;0
10;cccccc;cccccc;0;0
10;cccccc;cccccc;0;0
10;cccccc;cccccc;0;0
10;cccccc;cccccc;0;0
10;cccccc;cccccc;0;0
10;cccccc;cccccc;0;0
10;cccccc;cccccc;0;0
10;cccccc;cccccc;0;0
10;cccccc;cccccc;0;0
11;abcd;efgh;22;8
11;abcd;efgh;21;8
11;abcd;efgh;21;8
11;abcd;efgh;21;8
11;abcd;efgh;21;8
11;abcd;efgh;21;8
11;abcd;efgh;21;8
11;abcd;efgh;21;8
11;abcd;efgh;21;8
11;abcd;efgh;21;8
12;ijkl;mnop;21;8
12;ijkl;mnop;21;8
12;ijkl;mnop;21;8
12;ijkl;mnop;21;8
12;ijkl;mnop;21;8
12;ijkl;mnop;21;8
12;ijkl;mnop;21;8
12;ijkl;mnop;21;8
12;ijkl;mnop;22;8
12;ijkl;mnop;22;8
13;qrst;uvwx;22;8
13;qrst;uvwx;22;8
13;qrst;uvwx;23;8
13;qrst;uvwx;22;8
13;qrst;uvwx;21;8
13;qrst;uvwx;22;8
13;qrst;uvwx;22;8
13;qrst;uvwx;23;8
13;qrst;uvwx;23;8
13;qrst;uvwx;23;8
14;efgh;ijkl;23;8
14;efgh;ijkl;22;8
14;efgh;ijkl;23;8
14;efgh;ijkl;22;8
14;efgh;ijkl;22;8
